名字,开放时间,评分,建议游玩时间,门票,来源城市
"谢子龙影像艺术馆Xiezilong Yingxiang Art Center","全年 周二-周日 10:00-18:00;03/24-12/31 周一 全天不开放",4.1,1.5,"{'谢子龙影像艺术馆《星辰异客》展览票成人票\n\n': ['¥20起'], '谢子龙影像艺术中心玩转艺术馆联票成人票\n\n': ['¥100起'], '谢子龙影像艺术中心玩转艺术馆联票双人票\n\n': ['¥180起']}",长沙
"湖南博物院Hunan Provincial Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.8,3.5,"{'湖南博物院门票预约服务+深度讲解服务票大小同价\n\n': ['¥68起'], '湖南博物院门票代预约+VIP私家包团服务大小同价\n\n': ['¥358起'], '湖南博物院门票+""聆听文物的声音""中高级导游私享人工讲解服务大小同价\n\n': ['¥658起']}",长沙
"长沙铜官窑古镇Changsha Tongguanyao Ancient Town","全年 09:00-22:00",4.5,108,"{'长沙铜官窑古镇门票成人票\n\n': ['¥168起'], '长沙铜官窑古镇门票优待票\n\n': ['¥100起'], '长沙铜官窑古镇门票家庭票(2大1小)\n\n': ['¥358起']}",长沙
"湖南省植物园Hunan Forestry Botanical Garden","5/1-9/30(游览时间) 08:00-18:00;10/1-4/30 08:00-17:30",4.7,3,"{'湖南省森林植物园乐林游乐园项目长沙乐林游乐园玻璃漂流+喷球车/摇头飞椅2选1+花果山漂流/八卦阵2选1票大小同价\n\n': ['¥49.9起'], '湖南省森林植物园乐林游乐园玻璃漂流+转马/摇头飞椅2选1票+湖南省森林植物园乐林游乐园花果山漂流/双层过山车2选1+八卦阵套票亲子票(1大1小)\n\n': ['¥79.9起'], '789沙滩车运动俱乐部(松雅湖)\n\n': ['¥268起']}",长沙
"长沙海底世界Changsha Sea World","3/1-8/19(夏令时) 08:30-18:30;8/20-2/28(冬令时) 09:00-17:30",4.7,3.5,"{'长沙海底世界门票成人票\n\n': ['¥150起'], '长沙海底世界门票儿童票\n\n': ['¥110起'], '长沙海底世界门票优待票\n\n': ['¥75起']}",长沙
"李自健美术馆Lizijian Gallery","全年 周一 全天不开放 ;全年 周二-周日 09:30-17:30",4.7,1.5,"持身份证领取免费门票。",长沙
"火宫殿Huogongdian","景区全天开放，餐点时间8:00-次日2:00；详情以景区公示为准。",4.2,2,"{'橘子洲橘洲游日游船票（含观光车）票成人票\n\n': ['¥118起'], '湘江游轮橘洲之星(含观光车票)游船套票成人票\n\n': ['¥178起'], '长沙市内纯玩+天心阁+岳麓山+火宫殿+橘子洲一日游\n\n': ['¥98起']}",长沙
"爱晚亭Autumn-Admiring Pavilion","全年 全天开放",4.5,0.75,"{'【赠茶颜悦色+火宫殿9折券+无线耳麦讲解】湖南博物院+橘子洲+岳麓山+岳麓书院+爱晚亭打卡长沙一日游\n\n': ['¥95起'], '长沙市内纯玩+天心阁+岳麓山+火宫殿+橘子洲一日游\n\n': ['¥98起'], '打卡湖南省博物馆+天心阁+美食街+爱晚亭+岳麓山+岳麓书院+橘子洲头+湘江游轮纯玩一日游\n\n': ['¥305起']}",长沙
"天心阁Tianxin Pavilion","全年 07:30-17:30;全年 07:30-17:00",4.3,1.5,"{'天心阁门票成人票\n\n': ['¥30起'], '天心阁门票优待票\n\n': ['¥15起'], '天心阁门票双人票\n\n': ['¥63起']}",长沙
"湖南大学Hunan University","全年 全天开放",4.6,1.5,"{'【趣味讲解】!!!省博+岳麓书院+橘子洲!!! 长沙一日游纯玩团赠茶颜\n\n': ['¥339起']}",长沙
"马王堆汉墓遗址Mawangdui Han Tombs","具体开放时间请咨询景区",4,0.75,"{'一价全含免费接送丨赠魅力湘西丨张家界森林公园+天门山+玻璃桥+黄龙洞+凤凰沱江泛舟+芙蓉镇6日游\n\n': ['¥1099起'], '打卡湖南省博物馆+天心阁+美食街+爱晚亭+岳麓山+岳麓书院+橘子洲头+湘江游轮纯玩一日游\n\n': ['¥305起'], '湖南博物院门票+人工讲解+无线耳麦+刷身份证入馆\n\n': ['¥58起']}",长沙
"贾谊故居Former Residence of Jia Yi","全年 周二-周日 09:00-11:30,12:30-16:30;全年 周一 全天不开放",4.3,0.75,"具体收费情况以景区现场公示为主",长沙
"湘江Xiang River","全天开放",4.6,1.5,"{'橘子洲橘洲游日游船票（含观光车）票成人票\n\n': ['¥118起'], '湘江游轮橘洲之星(含观光车票)游船套票成人票\n\n': ['¥178起'], '【趣味讲解】!!!省博+岳麓书院+橘子洲!!! 长沙一日游纯玩团赠茶颜\n\n': ['¥339起']}",长沙
"长沙生态动物园Changsha Ecological Zoo","全年 09:00-17:00;中国法定节假日 09:00-17:30",4.3,3,"{'长沙生态动物园步行区门票成人票\n\n': ['¥40起'], '长沙生态动物园步行区门票学生票\n\n': ['¥20起'], '长沙生态动物园步行区门票老人票\n\n': ['¥20起']}",长沙
"靖港古镇Jinggang Ancient Town","8:00-17:30",4.2,12,"78元",长沙
"云麓宫Yunlu Palace","全年 09:00-17:30",4.4,1.5,"包含岳麓山风景区免费门票内，通用于岳麓山风景区门票。",长沙
"大围山国家森林公园Dawei Mountain National Forest Park","全年 全天开放",4.3,108,"{'大围山国家森林公园门票成人票\n\n': ['¥85起'], '大围山国家森林公园门票儿童票\n\n': ['¥45起'], '大围山国家森林公园门票学生票\n\n': ['¥45起']}",长沙
"湖南第一师范Hunan First Normal School","东方红校区、城南书院校区全天开放；疫情期间禁止外来人员进入。",4.6,1.5,"免费",长沙
"天际岭国家森林公园","6月1日-9月30日7:00-18:00;10月1日-次年5月31日7:30-17:30",3.7,2,"20元",长沙
"新民学会旧址Xinmin Organization site","全年 周二-周日 9:00-17:00",4.3,1,"具体收费情况以景区现场公示为主",长沙
"杜甫江阁Du Fu River Pavilion","9:00-22:00",4.3,1.5,"12元",长沙
"长沙简牍博物馆Changsha Bamboo and Wooden Slips Museum","每日开放时间缩短为10:00-16:00，15:30停止入馆，每周二闭馆（除法定节假日外）",4.3,2,"免费",长沙
"烈士公园Martyrs' Park","全年 05:00-23:00",4.6,2,"{'导览服务大小同价\n\n': ['¥7起']}",长沙
"麓山寺Lushan Temple","4月1日-10月31日：8:00-18:00 ；11月1日-次年3月31日：8:30-17:30。",4.5,1,"5元",长沙
"长沙摩天轮Changsha Ferris Wheel","周一-周五 18:30-22:00，周六、周日及法定节假日 9:30-22:00；最晚入园时间21:00。",4.3,0.75,"{'长沙摩天轮门票大小同价\n\n': ['¥66起']}",长沙
"灰汤温泉华天城旅游度假区Huitang Huatiancheng Hotspring Holiday Hotel","全年 09:00-23:00",4.6,2.5,"{'灰汤温泉华天城旅游度假区门票成人票\n\n': ['¥168起'], '灰汤温泉华天城旅游度假区门票儿童票\n\n': ['¥88起'], '灰汤温泉华天城旅游度假区门票双人票\n\n': ['¥376起']}",长沙
"周洛龙潭风景区Zhouluo Longtan Scenic Area","7:00-18:00,16:30停止进入",4.4,3.5,"48元",长沙
"八路军驻湘办事处","周一至周日 09:00-17:00",4,2,"免费开放。",长沙
"苍坊旅游区Former Residence of Hu Yaobang","10/1-3/31 9:00-17:00;4/1-9/30 09:00-17:30",4.6,1.5,"25元",长沙
"石燕湖Shiyan Lake","全年 08:30-17:00;全年 17:00-21:30",4.8,4.5,"{'石燕湖门票+天空玻璃桥+游乐项目票成人票\n\n': ['¥153起'], '石燕湖门票+天空玻璃桥+游乐项目票学生票\n\n': ['¥238起'], '石燕湖门票+天空玻璃桥+游乐项目票老人票\n\n': ['¥80起']}",长沙
"北津城遗址Beijincheng Site",,4.7,1.5,"门票18人民币",长沙
"黄兴故居Huangxing Former Residence","9:00-17:00,16:00停止进入；周一闭馆",4.7,1,"免费",长沙
"光明蝶谷飞鸟乐园Bright Butterfly Valley","9:00-17:00",4,108,"{'光明蝶谷门票成人票\n\n': ['¥68起']}",长沙
"李富春纪念馆","开放时间：09:00-16：00",4.7,1,"凭身份证进入免费参观。",长沙
"大围山峡谷漂流Dawei Mountain Canyon Drifting","6/1-10/7(上午场) 10:30-11:00;6/1-10/7(下午场) 13:00-15:00",4.5,2.5,"198元",长沙
"黄兴墓Huangxing Cemetery","全年 全天开放",4.5,1,"免费",长沙
"千佛洞Thousand Buddha Cave","全年 08:00-17:30",4.4,1.5,"{'千佛洞门票成人票\n\n': ['¥85起'], '千佛洞门票儿童票\n\n': ['¥45起'], '千佛洞门票老人票\n\n': ['¥45起']}",长沙
"沩山风景名胜区WeiShan Mountain Scenic Resort","全年 08:00-18:30",4.9,12,"{'沩山风景名胜区(不含门票)手绘地图、讲解、路线推荐服务大小同价\n\n': ['¥8起'], '【酒店套餐】长沙宁乡灰汤华天城温泉度假酒店1晚+双人早餐+双人入住期间无限次温泉门票\n\n': ['¥588起']}",长沙
"炭河古城Tanhe  Ancient City","全年 周六-周日 10:00-17:00;全年 周一-周五 10:30-17:00",4.8,12,"{'炭河古城(不含演出)门票成人票\n\n': ['¥55起'], '炭河古城大型歌舞《炭河千古情》演出（含炭河古城）门票成人票\n\n': ['¥160起'], '炭河古城电子导览服务大小同价\n\n': ['¥7起']}",长沙
"秋收起义文家市会师纪念馆Qiushouqiyiwenjiashihuishi Memorial Hall","全年 09:00-17:00",4.6,1.5,"请携带个人有效证件前往景区窗口领票",长沙
"中国湘绣博物馆Hunan Embroidery Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.5,1.5,"需提前预约",长沙
"太行山大峡谷Taihang Grand Canyon","全年 08:00-16:00",4.6,108,"{'太行山大峡谷八泉峡单程电梯缆车+单程游船+往返观光车票成人票\n\n': ['¥170起'], '太行山大峡谷八泉峡缆车+单程船票+往返观光车+电梯票大小同价\n\n': ['¥170起'], '太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起']}",长治
"仙堂山Xiantang Mountain","全年 08:00-17:00",4.5,108,"{'仙堂山电子讲解服务大小同价\n\n': ['¥1.6起']}",长治
"青龙峡(太行山大峡谷)Qinglong Gorge ( Taihang Mountain Grand Canyon)","全年 8:00-16:00",4.4,12,"{'太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起'], '太行山\n\n': ['¥198起']}",长治
"天脊山自然风景区Tianji Mountain Scenic Area","8:00-18:00",4.4,72,"{'天脊山自然风景区门票成人票\n\n': ['¥48起'], '天脊山电子导览服务大小同价\n\n': ['¥6起']}",长治
"红豆峡Hongdou Gorge","全年 8:00-16:00",4.4,3.5,"{'太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起'], '导览服务大小同价\n\n': ['¥9起'], '【太原出发】太行山2日游·赠送一早3正餐住农家 天天发团，无购物\n\n': ['¥265起']}",长治
"灵空山Lingkong Mountain","全年 6:00-18:00",4.7,72,"{'灵空山手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥8起']}",长治
"上党门Upper Dangmen","全年 08:00-18:00",4.5,1.5,"{'上党门手机智能讲解门票大小同价\n\n': ['¥7起']}",长治
"赤壁悬流Chibixuanliu Scenic Spot",,3.9,12,"具体收费情况以景区现场公示为主。",长治
"中太行洗耳河景区Xi'er River Scenic Area, Middle Taihang Mountain",,2.3,12,"{'中太行洗耳河景区电子导览服务大小同价\n\n': ['¥7起']}",长治
"长治自盛李记堆锦博物馆Zhangzhizisheng Liji Duijin Museum","9:00-18:00（周一到周日不闭馆）",4.3,2.5,"免费",长治
"海棠山风景区Haitang Mountain","8:00-17:00",4.6,2.5,"{'海棠山门票成人票\n\n': ['¥45起'], '海棠山电子导览服务大小同价\n\n': ['¥6起']}",阜新
"瑞应寺Ruiying Temple","全年 07:30-17:00",4.6,1.5,"{'瑞应寺门票成人票\n\n': ['¥28起'], '瑞应寺门票老人票\n\n': ['¥15起'], '瑞应寺电子导览服务大小同价\n\n': ['¥6起']}",阜新
"福宇文化园Fuyu Museum","全年 09:00-17:00",5,2.5,"30元",阜新
"乌兰木图山风景区Wulanmutu Mountain Sceneic Area","全年 8:30-16:30",4.4,3,"{'乌兰木图山风景区门票成人票\n\n': ['¥34起']}",阜新
"八里河旅游区Bali River Scenic Area","全年 周日 12:00-17:00;全年 周一-周三,周五 10:00-17:00;全年 周四 10:00-21:00",4.3,72,"{'八里河风景区门票成人票\n\n': ['¥85起']}",阜阳
"阜阳生态园Fuyang Ecological Park","全年 周六-周日 09:00-21:00;全年 周一-周五 09:00-17:00",4.5,12,"{'阜阳生态园门票成人票\n\n': ['¥50起'], '阜阳生态园门票优待票\n\n': ['¥26起']}",阜阳
"颍州西湖景区Yingzhou West Lake","全年 09:30-17:30",4.2,2.5,"60元",阜阳
"迪沟风景区Digou Scenic Area","8:00-19:00",4.5,4,"{'迪沟风景区门票+竹音寺门票成人票\n\n': ['¥34起'], '迪沟风景区门票+竹音寺门票优待票\n\n': ['¥19起'], '迪沟电子导览服务大小同价\n\n': ['¥12起']}",阜阳
"阜阳野生动物园","营业时间9:00-18:00，17:00停止入园",4.1,2.5,"99元",阜阳
"百鸟林景区","无",3,2.5,"26元",阜阳
"阜阳尧泰汉海海洋公园FUYANG ANDOVER OCEAN PARK","全年 09:00-16:30",3.7,2.5,"{'阜阳尧泰汉海海洋公园门票成人票\n\n': ['¥120起'], '阜阳尧泰汉海海洋公园门票儿童票\n\n': ['¥90起'], '阜阳尧泰汉海海洋公园门票学生票\n\n': ['¥90起']}",阜阳
"界首市博物馆Jieshoushi Museum","全年 周二-周日 8:30-17:30",4,2.5,"免费",阜阳
"太和县博物馆Taihexian Museum","全年 周二-周日 9:00-17:00",4.7,2.5,"免费",阜阳
"临泉魔幻动物园Linquanmohuan Zoo","全年 08:30-18:30",4.4,2.5,"{'临泉魔幻动物园门票成人票\n\n': ['¥69起'], '临泉魔幻动物园门票儿童票\n\n': ['¥44.5起'], '临泉魔幻动物园门票老人票\n\n': ['¥50起']}",阜阳
"七彩大地花海乐园Qicai Dadi Huahai Amusement Park","9:00-17:30",2.5,2.5,"{'七彩大地花海乐园门票成人票\n\n': ['¥38起']}",阜阳
"万尾金滩Wanwei Golden Beach","全年 全天开放",4.3,2,"{'东兴一日游【万尾金滩+海上红树林+国门边境风情+海淘美食特产精选纯玩团】\n\n': ['¥198起'], '东兴一日游【国界之南越南边界游+海淘美食】\n\n': ['¥198起']}",防城港
"东兴口岸Port of Dongxing","全年 全天开放",4.3,1.5,"{'东兴一日游【国界之南越南边界游+海淘美食】\n\n': ['¥198起'], '越南芒街+东兴口岸一日游【身份证出国+异国风情+海淘美食】\n\n': ['¥298起'], '东兴一日游【万尾金滩+海上红树林+国门边境风情+海淘美食特产精选纯玩团】\n\n': ['¥198起']}",防城港
"白浪滩Bailang Beach","全年 全天开放",4.2,2.5,"{'防城港江山半岛白浪滩景区出海拉网捕鱼体验成人票\n\n': ['¥450起']}",防城港
"野人谷景区","09:00-16:00",4.5,1,"158元",防城港
"伏波文化园","8:00-18:00",4.8,1,"免费",防城港
"东兴国门景区",,4.6,12,"景区免费，景区内项目按实际收费",防城港
"防城港市博物馆Fangchenggangshi Museum","全年 周二-周日 9:00-16:30",4.1,2.5,"免费",防城港
"东兴京族博物馆Dongxingjingzu Museum","全年 周二-周日 9:00-16:30",5,2.5,"免费",防城港
"海陵岛Hailing Island","全天开放",4.4,108,"{'海陵岛拖伞体验成人票\n\n': ['¥450起'], '海陵岛摩托艇体验门票成人票\n\n': ['¥150起'], '海陵岛深潜体验门票成人票\n\n': ['¥480起']}",阳江
"马尾岛Mawei Island","全年 全天开放",4.3,3,"{'【酒店套餐】阳江海陵岛万豪海陵湾1号网红一线海景+十里银滩\n\n': ['¥139起']}",阳江
"闸坡大角湾Zhapo Dajiao Bay","4/16-10/15(旺季) 08:00-21:30;10/16-4/15(淡季) 08:00-18:00",4.3,12,"{'闸坡大角湾单次门票成人票\n\n': ['¥29.5起'], '闸坡大角湾单次门票优待票\n\n': ['¥15起'], '闸坡大角湾单次门票亲子票(1大1小)\n\n': ['¥45起']}",阳江
"沙扒湾Shaba Bay","7:00-19:30；青洲岛8:00-17:00。",4.1,2.5,"40元",阳江
"珍珠湾旅游度假区Pearl Bay Holiday Resort","全年 7:00-21:00",4.2,2.5,"度假区免费开放，内部摩托艇等娱乐项目另收费。",阳江
"十里银滩Shili Silver Beach","全天开放；服务及娱乐设施8:00-18:00",4.4,2.5,"{'十里银滩摩托艇体验双人票\n\n': ['¥130起'], '十里银滩深潜体验成人票\n\n': ['¥430起'], '十里银滩快艇出海三山岛体验成人票\n\n': ['¥100起']}",阳江
"凌霄岩Lingxiao Cave","8:30-17:00",4,1.5,"{'凌霄岩门票成人票\n\n': ['¥42.8起'], '凌霄岩门票优待票\n\n': ['¥21.8起'], '凌霄岩电子导览服务大小同价\n\n': ['¥6起']}",阳江
"玉溪三洞Yuxi Three Caves","9:00-17:30，17:00停止入场。",4.2,3,"{'玉溪三洞门票成人票\n\n': ['¥35.7起'], '玉溪三洞门票优待票\n\n': ['¥20起']}",阳江
"崆峒岩风景区Kongtongyan Scenic Area","09:00—17:00",4.1,2.5,"{'崆峒岩风景区门票成人票\n\n': ['¥21起'], '崆峒岩电子导览服务大小同价\n\n': ['¥6起']}",阳江
"瓦晒湾·海洋秘境","全年 09:00-19:00",4.1,2.5,"成人门票58",阳江
"星空之眼摩天轮","暂无",4,1.5,"38元",阳江
"东平大澳渔家文化邨",,4.2,12,"具体收费情况以景区现场公示为主。",阳江
"藏山风景区Cang Mountain Scenic Area","旺季（4月1日-10月31日）8:00-18:30；淡季（11月1日-次年3月31日）8:30-16:30。",4.5,12,"{'导览服务成人票\n\n': ['¥9起']}",阳泉
"翠枫山自然风景区Cuifeng Mountain Natural Scenic Area","9:00-17:00",4.3,3.5,"旺季80元 淡季50元",阳泉
"阳泉海洋世界Yangquanhaiyang World",,5,2.5,"78元",阳泉
"大汖古村Dachang Ancient Village",,4.2,12,"{'大汖古村门票成人票\n\n': ['¥45起'], '大汖古村门票优待票\n\n': ['¥30起'], '大汖村电子导览服务大小同价\n\n': ['¥7起']}",阳泉
"红岩岭自然风景区Hongyanling Natural Scenic Area","营业状态调整频繁，建议提前咨询景区。 开放时间：开放时间：1月1日-12月31日 09:00-18:00,18:00停止入场",4.6,1.5,"{'红岩岭自然风景区通票门票成人票\n\n': ['¥39.9起'], '红岩岭自然风景区玉皇洞门票成人票\n\n': ['¥49.9起'], '红岩岭自然风景区玉皇洞门票学生票\n\n': ['¥39起']}",阳泉
"天地根Tiandigen","包含于藏山风景区，景点开放时间详见景区现场公示。",4.6,1,"包含于藏山风景区内，景点门票详见景区公示。",阳泉
"天山神秘大峡谷The Mysterious Grand Canyon of Tianshan Mountains","1/1-12/31 10:00-19:00",4.5,2.5,"{' 天山神秘大峡谷门票成人票\n\n': ['¥40起'], ' 天山神秘大峡谷门票学生票\n\n': ['¥21起'], ' 天山神秘大峡谷门票老人票\n\n': ['¥21起']}",阿克苏
"刀郎部落Daolang Tribe","全年 10:00-19:30",4.3,3.5,"{'刀郎部落门票成人票\n\n': ['¥65起'], '刀郎部落门票儿童票\n\n': ['¥35起'], '刀郎部落门票学生票\n\n': ['¥35起']}",阿克苏
"库车王府Kuche Royal Palace","9:00-20:00",4.1,2,"{'库车王府门票成人票\n\n': ['¥53起'], '库车王府门票学生票\n\n': ['¥30起'], '库车王府门票老人票\n\n': ['¥30起']}",阿克苏
"库车大寺Kuche Dasi","肉孜节、古尔邦节全天不对游客开放",4.2,1.5,"{'库车大寺大门票成人票\n\n': ['¥14起'], '库车大寺大门票学生票\n\n': ['¥8起'], '库车大寺大门票老人票\n\n': ['¥8起']}",阿克苏
"神木园Shenmuyuan","10:30-18:30",4.4,2.5,"{'神木园门票成人票\n\n': ['¥38起'], '神木园门票优待票\n\n': ['¥20起'], '神木园门票老人票\n\n': ['¥20起']}",阿克苏
"林基路烈士纪念馆Linjilulieshi Memorial Hall","8：00——17：00",4.4,1,"7.5元",阿克苏
"阿克苏地区文化馆Aksu Cultural Center","全年 10:00-18:00",4.6,1.5,"凭本人身份证免费参观",阿克苏
"喀纳斯景区Kanas Lake Scenic Area","全年 08:00-20:00",4.6,108,"{'喀纳斯景区电子导览票成人票\n\n': ['¥0.5起'], '阿勒泰喀纳斯+禾木火车双卧精品5日游*2人起订，当地越野车直达景区\n\n': ['¥1899起'], '喀纳斯+禾木+卧龙湾+月亮湾+神仙湾品质3日游|北屯起止|多种套餐纯玩无购物\n\n': ['¥1188起']}",阿勒泰
"可可托海景区Keketuohai Scenic Area","全年 09:30-19:30",4.3,12,"90元",阿勒泰
"白哈巴Baihaba","4/30-11/30 09:30-18:30",4.5,108,"50元",阿勒泰
"禾木风景区Hemu Scenic Area","全年 08:30-20:00",4.5,108,"{'阿勒泰喀纳斯+禾木火车双卧精品5日游*2人起订，当地越野车直达景区\n\n': ['¥1899起'], '喀纳斯+禾木+卧龙湾+月亮湾+神仙湾品质3日游|北屯起止|多种套餐纯玩无购物\n\n': ['¥1188起'], '新疆喀纳斯+禾木+白哈巴纯玩无购物火车往返精品6日游*2人起订，当地越野车直达景区\n\n': ['¥2319起']}",阿勒泰
"喀纳斯河Kanas River","全天开放，疫情期间不接待外地游客。",4.7,3.5,"160元",阿勒泰
"五彩滩Colorful Beach","全年 09:00-19:30",4.5,3,"旺季（4月1日-10月31日）45元，淡季(11月1日-次年3月31日)22元。",阿勒泰
"神仙湾Fairy Bay","具体开放时间请咨询景区",4.6,0.75,"包含在喀纳斯国家地质公园内，通用于喀纳斯国家地质公园门票。疫情期间景点暂对个别省市不开放，详情请提前电话咨询景区。",阿勒泰
"额尔齐斯河Irtysh River","全年 全天开放",4.8,252,"免费",阿勒泰
"月亮湾Moon Bay","全年 08:30-19:30",4.7,0.75,"160元2天",阿勒泰
"白湖White Lake","全年 8:30-19:30",4.4,1,"包含在喀纳斯景区门票185元内。",阿勒泰
"五彩城","8:00-18:00",4.6,6,"50元",阿勒泰
"贾登峪国家森林公园","年开放时间：1月1日-12月31日 周一至周日日开放时间：00:00-24:00",4.7,3,"贾登峪国家森林公园包含在喀纳斯景区套票之内。 喀纳斯景区门票价格旺季（5月1日—10月15日）：成人票160元/人·2天淡季（10月16日至次年4月30日）：成人票80元/人·2天 优惠政策1、对6周岁（含6周岁）以下或身高1.2米（含1.2米）以下的儿童实行免票；现役军人、70岁以上老年人、残疾人、持国家新闻出版总署或国家广电总局签发证件的记者以及带团导游、旅行社经理、团队驾驶员凭证件免票；2、对6周岁（不含6周岁）至18周岁（含18周岁）未成年人、全日制大学本科及以下学历学生、65—70岁老年人持有效证件享受五折票价；3、教师持资格证享受八折票价。",阿勒泰
"禾木草原The Hemu Grassland","全年 8:00-22:00",4.5,1.5,"{'阿勒泰喀纳斯+禾木火车双卧精品5日游*2人起订，当地越野车直达景区\n\n': ['¥1899起'], '喀纳斯+禾木+卧龙湾+月亮湾+神仙湾品质3日游|北屯起止|多种套餐纯玩无购物\n\n': ['¥1188起'], '新疆喀纳斯+禾木+白哈巴纯玩无购物火车往返精品6日游*2人起订，当地越野车直达景区\n\n': ['¥2319起']}",阿勒泰
"观鱼台Guanyu Pavilion","具体开放时间请咨询景区",4.6,1.5,"包含在喀纳斯景区内，通用于喀纳斯景区门票。区间车需另收费，往返20元。",阿勒泰
"白沙湖Baisha Lake","全年 08:30-18:30",4.6,2.5,"免费",阿勒泰
"哈巴河白桦林Habahe Baihualin","全天",4.3,2,"{'哈巴河白桦林电子导览服务大小同价\n\n': ['¥9起']}",阿勒泰
"喀纳斯图瓦村Kanas Tuva Village","全年 全天开放",4.6,72,"在喀纳斯景区通票包含范围内",阿勒泰
"乌伦古湖国家湿地公园Ulungur Lake","全年 10:00-19:30",4.4,2.5,"3元",阿勒泰
"驼颈湾Camel Neck Bay","全年 8:30-19:30",4.4,0.35,"包含在喀纳斯景区门票185元内。",阿勒泰
"鸭泽湖Yaze Lake","8:30-19:30",4.4,0.75,"喀纳斯景区通票包含",阿勒泰
"浮木长堤Fumu Causeway","全年 8:30-19:30",4.3,1,"包含在喀纳斯景区门票185元内。",阿勒泰
"吐鲁克岩画Tuluke Rock Paintings","全年 8:30-19:30",3.9,0.75,"包含在喀纳斯景区门票160元内。",阿勒泰
"泰加林廊道Taiga Corridor","全年 8:30-19:30",4.3,1.5,"包含在喀纳斯景区门票185元内。",阿勒泰
"千湖Qianhu National Wetland Park","全年 8:30-19:30",4.2,1.5,"包含在喀纳斯景区门票185元内。",阿勒泰
"花楸谷Sorbus Valley","8:30-19:30",4.5,1,"包含在喀纳斯景区门票内。",阿勒泰
"成吉思汗点将台Genghis Khan Point Sets","全年 全天开放",4.6,1,"包含在禾木景区门票60元内。禾木村落维护费：20元。",阿勒泰
"百花园Hundred gardens","全年 8:30-19:30",4,1.5,"包含在喀纳斯景区门票185元内。",阿勒泰
"九寨沟风景区Jiuzhaigou Scenic Area","5/1-10/31 07:30-17:00;11/1-11/15 08:00-17:00;11/16-3/31 08:30-17:00",4.7,72,"{'九寨沟风景区门票+观光车票成人票\n\n': ['¥278起'], '九寨沟风景区门票+观光车票学生票\n\n': ['¥185起'], '九寨沟风景区门票+观光车票老人票\n\n': ['¥90起']}",阿坝
"四姑娘山Mount Siguniang (Skubla)","4/1-11/30 07:00-15:30;12/1-3/31 08:00-15:00",4.6,180,"{'四姑娘山海子沟门票成人票\n\n': ['¥60起'], '四姑娘山海子沟门票学生票\n\n': ['¥30起'], '四姑娘山海子沟门票老人票\n\n': ['¥30起']}",阿坝
"达古冰川风景区Dagu Holy-glacier","05/01-12/15(旺季) 08:00-15:30;12/16-04/30(淡季) 08:00-15:00",4.5,12,"{'达古冰山地质公园门票+往返索道+观光车票成人票\n\n': ['¥310起'], '达古冰山地质公园门票+往返索道+观光车票学生票\n\n': ['¥305起'], '达古冰山地质公园门票+往返索道+观光车票老人票\n\n': ['¥245起']}",阿坝
"牟尼沟风景区Mounigou Scenic Area","全年 08:00-18:00",4.6,3,"{'牟尼沟风景区(扎嘎景区)门票优待票\n\n': ['¥35起'], '导览服务大小同价\n\n': ['¥8起']}",阿坝
"黄龙风景名胜区Huanglong Scenic Area","06/01-10/31 08:00-18:00;12/16-05/31 09:00-17:30;11/2-12/15 08:30-17:30",4.6,1,"{'黄龙风景名胜区门票成人票\n\n': ['¥60起'], '黄龙风景名胜区门票老人票\n\n': ['¥80起'], '黄龙风景名胜区门票优待票\n\n': ['¥80起']}",阿坝
"毕棚沟Bipeng Valley","8:00-17:00",4.4,12,"{'毕棚沟门票+景区交通大巴车票成人票\n\n': ['¥90起'], '毕棚沟门票+景区交通大巴车票儿童票\n\n': ['¥60起'], '毕棚沟门票+景区交通大巴车票学生票\n\n': ['¥60起']}",阿坝
"卧龙中华大熊猫苑神树坪基地Wolong China Panda Garden Shenshuping Base","9:00-17:00，具体开放时间详见景区公示。",4.4,2.5,"{'卧龙中华大熊猫苑神树坪基地门票成人票\n\n': ['¥85起'], '卧龙中华大熊猫苑神树坪基地门票学生票\n\n': ['¥40起'], '卧龙中华大熊猫苑神树坪基地门票亲子票(1大1小)\n\n': ['¥125起']}",阿坝
"黄龙主沟Huanglong (Yellow Dragon) Main Ditch","全年 8:00-16:00",4.9,2.5,"60元",阿坝
"若尔盖热尔大草原","全天",3,3.5,"{'【全新草原·深度纯玩】莲宝叶则/月亮湾/九曲黄河第一湾纯玩3日游|三环内接早|赠旅拍|特色餐\n\n': ['¥706起'], '【免费升级头等舱·纯玩经典】九寨沟·黄龙·2日游·纯玩无购物·三环内可接\n\n': ['¥566起'], '【免费升级头等舱·保证纯玩·可选懒人团】九寨沟·黄龙·达古冰川真纯玩3日游\n\n': ['¥588起']}",阿坝
